Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
1440.31000179,13778.9098512,0.168832369767
1701.21095437,52054.3184429,0.160048071044
1886.83949946,18834.0612017,0.134127777311
2053.27296302,5888.91477446,0.10562801993
2180.98734408,4781.93097663,0.177479607263
3203.77190353,1210.0511553,0.0202397053008
3419.00711112,1276.06098027,0.0137126204967
5894.96217319,6000.53224072,0.0573166693254
5323.54131013,7834.53372796,0.0742958400999
9470.55909879,12338.482118,0.0665753398316
39605.795733,24209.6062972,0.0376610319202
222941.863741,11174.478906,0.0246964189588
111979.119301,8127.03962315,0.0173080336667
5760.04700304,22338.557687,0.00510950663791
6637.13899734,64670.7121777,0.0194339565515
4017.21254708,8088.29299863,0.0201978587859
4082.74800946,3520.47958418,0.0610161542945
5114.72247735,9884.14896276,0.011611874949
4755.49469426,1348.33713685,0.101815169801
5270.53553142,1340.09421181,0.111994589437
9422.2603746,4583.94555826,0.0154817992269
13721.1916901,10836.6107623,0.0338894416503
12751.6271861,6514.87806755,0.0519436702184
6792.13801732,34486.7563449,0.0439741854362
5739.0145375,34306.9317105,0.0621905492719
6059.6422384,24598.4344786,0.0785474086386
6104.09724911,32350.9202194,0.0691704601843
13290.4990513,29240.0199155,0.0288778929835
9291.03470534,19998.662045,0.0186467213995
3909.59876378,6242.95778942,0.0191454071433
2970.64449961,1020.53860763,0.143640663166
3571.4679557,1145.50680078,0.145534410295
3665.925116,1042.88410509,0.173534517572
3326.13758431,5194.61231714,0.0528069118132
3237.58401488,18189.3566791,0.0300481370962
13902.4858303,9108.94705577,0.00356553569337
99031.2675047,6069.10026493,0.00106464406207
41759.8262663,4755.85393177,0.00145706330563
6735.49012118,7013.77559542,0.0342687675251
7651.38089873,12528.0989218,0.0455025058261
7942.8857942,18744.3612163,0.0497747065387
10804.795487,1498.91110672,0.0301873446103
8979.59595319,1945.31858245,0.0130830140883
10209.5860725,1414.26621262,0.0621040083274
12271.5114818,2176.1925967,0.022138999718
24966.0384224,14044.1986194,0.0434461050309
34917.2446388,6236.44958934,0.059263854586
15266.7244132,46145.284458,0.0537933491494
24005.8050979,41043.3638998,0.0478991006656
10677.9696568,22906.8527727,0.0160298058581
7976.95794929,188584.663229,0.0119335264773
8437.22515452,22976.9493424,0.0277937379199
11312.6400604,47271.313931,0.0194499834612
7296.00277398,2873.6679134,0.0469693805933
6199.36873574,1457.48106259,0.0784795799023
7466.83326899,1271.12241583,0.114335872757
6523.50536773,1291.0708138,0.132422250004
4998.16471481,13075.9737055,0.0198723710871
7408.97326361,5019.43239981,0.0124771952637
18440.63954,31798.554668,0.02065354028
221166.014667,59904.3786676,0.0252126128467
13639.2279974,67822.1028535,0.033619774732
55460.7442708,15918.788465,0.0374577191919
10400.1956506,25382.6518467,0.0209506831636
31571.9301742,9229.2691426,0.0182792506093
18688.0284541,19219.7368552,0.0167376211427
227451.471283,5183.16237765,0.0138490055938
14117.4248685,923.274077199,0.145969965407
973890.239225,125085.493846,0.0348390073277
18484.7096881,26608.8370669,0.057776223579
4707.11696702,9266.59226874,0.0802646908259
8539.30134526,12449.8416021,0.0810860520546
4439.49580225,41505.9631911,0.0896544240578
6536.62985493,15906.3251867,0.105459037194
4402.70300788,17773.0479135,0.121021135321
3443.68023318,18985.9029136,0.125097808776
2451.2649222,9658.7232081,0.167550089155
3386.97420317,1944.16868441,0.0596334090495
3855.68624178,1502.11759475,0.0311768240995
63917.2185098,1795.48530352,0.010850142442
27163.2624432,69878.7182848,0.0862172815418
5332.81248268,140486.435048,0.121359467977
6250.50193675,6510.71364797,0.111675107825
5107.76291236,13624.0111675,0.113101006894
3956.67336643,41766.4179041,0.119526729842
6869.60729109,23429.2425822,0.106372065422
13831.0777636,17457.6654417,0.0957092667597
56668.6316432,33728.7295484,0.0638525566399
13201.2869074,6390.15826264,0.112517018097
94480.213203,4448.97861747,0.0332778686437
10955.7676697,9936.7414298,0.0740698646244
22801.0828817,2932.96213861,0.014161603038
49568.2234957,16788.0239051,0.0653257560534
9672.5222991,9375.81288427,0.0857580804269
11314.8954998,15927.1192964,0.0733295385516
8675.05530887,12533.849215,0.0599932131264
10431.8020535,13597.8755977,0.0541507902038
12509.1706653,11795.9807826,0.021366028404
11926.7871408,9672.77507823,0.0181024603496
5032.57205526,8617.42448597,0.0144900642093
4557.29570373,12633.7797701,0.0120249626336
3188.7199005,2648.55225977,0.0717543076281
